feature,index,rank
Semantic_Gazeteers_AvgValence,0,1
Semantic_DAL_ANEW_AvgValence,2,2
Semantic_Synesktech_AngerWeight,8,3
Semantic_GI_negativ,12,4
Semantic_Synesktech_FearWeight,9,5
Semantic_Synesktech_Valence,5,6
Semantic_Gazeteers_AvgArousal,1,7
Semantic_Synesktech_SadnessWeight,7,8
Semantic_GI_strong,14,9
Semantic_GI_natrpro,53,10
Stylistic_CapitalLetters_cfcl,121,11
Semantic_GI_hu,35,12
Semantic_GI_pstv,13,13
Semantic_GI_wlbphys,105,14
Semantic_GI_powtot,92,15
Semantic_GI_vice,19,16
Semantic_Synesktech_DisgustWeight,10,17
Semantic_Synesktech_HappinessWeight,6,18
Semantic_GI_econ@,22,19
Semantic_GI_comform,46,20
Semantic_GI_work,31,21
Semantic_GI_self,78,22
Semantic_GI_weak,15,23
Semantic_GI_exert,60,24
Semantic_GI_negaff,118,25
Semantic_GI_affoth,102,26
Semantic_GI_quan,70,27
Semantic_GI_polit@,27,28
Semantic_GI_powcon,89,29
Semantic_GI_rctot,96,30
Semantic_GI_solve,67,31
Semantic_GI_means,50,32
Semantic_GI_rsptot,100,33
Semantic_GI_sv,85,34
Semantic_GI_intrj,84,35
Semantic_GI_wlbpt,107,36
Semantic_GI_polit,28,37
Semantic_GI_indadj,86,38
Semantic_GI_abs@,68,39
Semantic_GI_relig,29,40
Semantic_DAL_ANEW_AvgArousal,3,41
Semantic_GI_time@,73,42
Semantic_GI_you,80,43
Semantic_GI_bodypt,45,44
