num_features,kernel,params,rank_test_score,mean_test_score,std_test_score
10,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",1,0.5565343360479491,0.04735305692429093
25,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",34,0.5721652244707484,0.05333550005849404
50,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",43,0.5854324200736025,0.04701908948483053
100,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",51,0.5988874136808926,0.05285954095757951
122,10_1_rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",44,0.6019869719592035,0.050425053112443885
10,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",10,0.5451748668042985,0.043609123582780684
25,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",6,0.5939004925918604,0.04948431923123499
50,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1,0.6416401820710489,0.04797963088728542
100,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1,0.6613455906931116,0.0356867082385437
122,100_auto_rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",5,0.6565464734647374,0.04140442009549957
10,100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",36,0.5354150498770547,0.04298318877325314
25,100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",5,0.5940046463583881,0.05015326408878673
50,100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",3,0.6403521181714059,0.047482578830865985
100,100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",1,0.6613455906931116,0.0356867082385437
122,100_0.01_rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",7,0.6539204425664998,0.0414778421955394
10,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",35,0.5354858909140884,0.042023313055394536
25,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",1,0.5967290209596213,0.050313627058280685
50,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",5,0.6387751718473815,0.0463167902986144
100,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",3,0.6598000335181696,0.039000249311232575
122,1000_0.001_rbf,"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",6,0.6559433050467246,0.04291298641619661
